Date,Mean Humidity
2017-12-14,73.26
2017-12-15,73.26
2017-12-16,73.25
2017-12-17,73.23
2017-12-18,73.19
2017-12-19,73.19
2017-12-20,73.17
2017-12-21,73.14
2017-12-22,73.11
2017-12-23,73.11
2017-12-24,73.13
2017-12-25,73.12
2017-12-26,73.11
2017-12-27,73.11
2017-12-28,73.11
2017-12-29,73.1
2017-12-30,73.13
2017-12-31,73.16
2018-01-01,73.18
2018-01-02,73.2
2018-01-03,73.21
2018-01-04,73.23
2018-01-05,73.26
2018-01-06,73.26
2018-01-07,73.27
2018-01-08,73.28
2018-01-09,73.28
2018-01-10,73.31
2018-01-11,73.33
2018-01-12,73.37
2018-01-13,73.41
2018-01-14,73.43
2018-01-15,73.45
2018-01-16,73.44
2018-01-17,73.43
2018-01-18,73.41
2018-01-19,73.4
2018-01-20,73.41
2018-01-21,73.39
2018-01-22,73.37
2018-01-23,73.39
2018-01-24,73.38
2018-01-25,73.38
2018-01-26,73.39
2018-01-27,73.39
2018-01-28,73.38
2018-01-29,73.35
2018-01-30,73.34
2018-01-31,73.33
2018-02-01,73.32
2018-02-02,73.36
2018-02-03,73.35
2018-02-04,73.35
2018-02-05,73.33
2018-02-06,73.29
2018-02-09,73.26
2018-02-10,73.22
2018-02-11,73.18
2018-02-12,73.13
2018-02-13,73.1
2018-02-14,73.09
2018-02-15,73.07
2018-02-16,73.06
2018-02-19,73.05
2018-02-20,73.03
2018-02-21,73.0
2018-02-22,72.98
2018-02-23,72.98
2018-02-24,73.0
2018-02-25,73.0
2018-02-26,72.99
2018-02-27,72.99
2018-02-28,72.97
2018-03-01,72.97
2018-03-02,72.97
2018-03-03,72.97
2018-03-04,72.97
2018-03-05,72.95
2018-03-06,72.94
2018-03-07,72.96
2018-03-08,72.97
2018-03-09,72.95
2018-03-10,72.96
2018-03-11,72.95
2018-03-12,72.96
2018-03-13,72.94
2018-03-14,72.93
2018-03-15,72.91
2018-03-16,72.91
2018-03-17,72.89
2018-03-18,72.88
2018-03-19,72.86
2018-03-20,72.85
2018-03-21,72.84
2018-03-22,72.82
2018-03-23,72.8
2018-03-24,72.79
2018-03-25,72.8
2018-03-26,72.8
2018-03-27,72.83
2018-03-28,72.82
2018-03-29,72.83
2018-03-30,72.83
2018-03-31,72.83
2018-04-01,72.82
2018-04-02,72.81
2018-04-03,72.8
2018-04-04,72.78
2018-04-05,72.76
2018-04-06,72.75
2018-04-07,72.75
2018-04-08,72.75
2018-04-09,72.73
2018-04-10,72.72
2018-04-11,72.71
2018-04-16,72.72
2018-04-17,72.72
2018-04-18,72.7
2018-04-19,72.71
2018-04-20,72.71
2018-04-21,72.72
2018-04-22,72.72
2018-04-23,72.74
2018-04-24,72.74
2018-04-25,72.72
2018-04-26,72.72
2018-04-27,72.74
2018-04-28,72.73
2018-04-29,72.72
2018-04-30,72.72
2018-05-01,72.75
2018-05-02,72.74
2018-05-03,72.73
2018-05-04,72.72
2018-05-05,72.72
2018-05-06,72.71
2018-05-07,72.7
2018-05-08,72.67
2018-05-09,72.65
2018-05-10,72.64
2018-05-11,72.63
